ds,y,unique_id
881,936.3,platinum
882,954.65,platinum
883,954.7,platinum
884,939.3,platinum
885,932.25,platinum
886,932.3,platinum
887,914.2,platinum
888,889.7,platinum
889,891.55,platinum
890,877.2,platinum
891,874.05,platinum
892,876.1,platinum
893,882.85,platinum
894,892.4,platinum
895,893.25,platinum
896,897.1,platinum
897,912.4,platinum
898,919.8,platinum
899,917.5,platinum
900,893.75,platinum
901,894.55,platinum
902,898.45,platinum
903,909.8,platinum
904,899.5,platinum
905,895.55,platinum
906,898.1,platinum
907,899.25,platinum
908,900.4,platinum
909,912.0,platinum
910,900.05,platinum
911,898.7,platinum
912,897.9,platinum
913,898.1,platinum
914,896.25,platinum
915,918.65,platinum
916,941.4,platinum
917,945.5,platinum
918,930.6,platinum
919,928.55,platinum
920,931.15,platinum
921,929.05,platinum
922,935.8,platinum
923,936.4,platinum
924,912.15,platinum
925,918.85,platinum
926,932.5,platinum
927,945.6,platinum
928,943.0,platinum
929,949.1,platinum
930,947.35,platinum
931,956.0,platinum
932,964.75,platinum
933,971.9,platinum
934,975.5,platinum
935,986.9,platinum
936,988.55,platinum
937,989.3,platinum
938,969.35,platinum
939,977.75,platinum
940,961.0,platinum
941,973.6,platinum
942,984.3,platinum
943,981.75,platinum
944,980.6,platinum
945,989.25,platinum
946,1031.5,platinum
947,1015.3,platinum
948,1027.05,platinum
949,1030.5,platinum
950,1026.3,platinum
951,1000.8,platinum
952,1022.6,platinum
953,1009.05,platinum
954,1010.25,platinum
955,1004.05,platinum
956,991.3,platinum
957,990.7,platinum
958,982.5,platinum
959,981.85,platinum
960,962.65,platinum
961,968.25,platinum
962,971.3,platinum
963,966.65,platinum
964,984.2,platinum
965,968.9,platinum
966,970.15,platinum
967,970.0,platinum
968,965.45,platinum
969,971.75,platinum
970,963.95,platinum
971,972.0,platinum
972,967.4,platinum
973,969.35,platinum
974,973.1,platinum
975,995.8,platinum
976,1010.85,platinum
977,986.05,platinum
978,976.75,platinum
979,977.45,platinum
980,966.15,platinum
981,935.7,platinum
982,911.4,platinum
983,903.65,platinum
984,866.35,platinum
985,852.95,platinum
986,868.8,platinum
987,878.25,platinum
988,875.7,platinum
989,872.95,platinum
990,904.35,platinum
991,899.7,platinum
992,872.2,platinum
993,873.5,platinum
994,863.2,platinum
995,762.65,platinum
996,763.3,platinum
997,757.9,platinum
998,666.15,platinum
999,669.0,platinum
1000,642.1,platinum
1001,595.2,platinum
1002,611.4,platinum
1003,606.0,platinum
1004,665.15,platinum
1005,734.6,platinum
1006,733.6,platinum
1007,741.15,platinum
1008,738.4,platinum
1009,741.9,platinum
1010,723.7,platinum
1011,718.65,platinum
1012,719.1,platinum
1013,729.15,platinum
1014,724.6,platinum
1015,724.7,platinum
1016,746.45,platinum
1017,738.7,platinum
1018,736.45,platinum
1019,751.5,platinum
1020,751.8,platinum
1021,749.0,platinum
1022,754.3,platinum
1023,819.2,platinum
1024,801.45,platinum
1025,805.5,platinum
1026,791.25,platinum
1027,786.45,platinum
1028,788.6,platinum
1029,757.9,platinum
1030,768.9,platinum
1031,791.3,platinum
1032,781.25,platinum
1033,780.1,platinum
1034,776.65,platinum
1035,794.3,platinum
1036,810.65,platinum
1037,805.5,platinum
1038,778.6,platinum
1039,768.35,platinum
1040,780.3,platinum
1041,781.55,platinum
1042,764.75,platinum
1043,781.5,platinum
1044,791.05,platinum
1045,796.2,platinum
1046,781.0,platinum
1047,768.2,platinum
1048,776.45,platinum
1049,785.6,platinum
1050,821.45,platinum
1051,841.3,platinum
1052,862.5,platinum
1053,893.55,platinum
1054,931.75,platinum
1055,869.3,platinum
1056,886.6,platinum
1057,885.5,platinum
1058,895.1,platinum
1059,869.9,platinum
1060,879.3,platinum
1061,863.45,platinum
1062,873.1,platinum
1063,877.2,platinum
1064,900.3,platinum
1065,872.7,platinum
1066,858.15,platinum
1067,866.15,platinum
1068,834.5,platinum
1069,835.8,platinum
1070,864.05,platinum
1071,859.95,platinum
1072,850.0,platinum
1073,812.55,platinum
1074,820.4,platinum
1075,816.8,platinum
1076,831.05,platinum
1077,841.25,platinum
1078,833.8,platinum
1079,814.7,platinum
1080,824.6,platinum
1081,826.75,platinum
1082,844.5,platinum
1083,843.85,platinum
1084,796.95,platinum
1085,809.4,platinum
1086,804.0,platinum
1087,815.5,platinum
1088,832.3,platinum
1089,852.6,platinum
1090,836.45,platinum
1091,827.65,platinum
1092,825.8,platinum
1093,826.75,platinum
1094,842.6,platinum
1095,861.6,platinum
1096,881.7,platinum
1097,853.55,platinum
1098,841.5,platinum
1099,844.8,platinum
